Hardware allocated: cuda
STATERA PoC Temporal Tracking Training Started...
Epoch[3/50] | Train Batch[140/334] | Time (10 batches): 69.13s | Loss: 9.0166 (wH: 6.5180, wZ: 2.6789, wM: 22.3070)
Epoch[3/50] | Train Batch[150/334] | Time (10 batches): 69.07s | Loss: 9.3381 (wH: 6.8559, wZ: 0.6915, wM: 24.1302)
Epoch[3/50] | Train Batch[160/334] | Time (10 batches): 69.15s | Loss: 8.4931 (wH: 6.3334, wZ: 1.4660, wM: 20.1308)
Epoch[3/50] | Train Batch[170/334] | Time (10 batches): 69.28s | Loss: 8.5198 (wH: 6.2513, wZ: 1.1640, wM: 21.5207)
Epoch[3/50] | Train Batch[180/334] | Time (10 batches): 69.05s | Loss: 8.8070 (wH: 6.5050, wZ: 1.0692, wM: 21.9499)
Epoch[3/50] | Train Batch[190/334] | Time (10 batches): 69.22s | Loss: 8.9054 (wH: 6.1744, wZ: 1.9703, wM: 25.3398)
Epoch[3/50] | Train Batch[200/334] | Time (10 batches): 69.07s | Loss: 8.7043 (wH: 6.5089, wZ: 1.3031, wM: 20.6511)
Epoch[3/50] | Train Batch[210/334] | Time (10 batches): 69.08s | Loss: 8.3638 (wH: 6.3932, wZ: 0.7374, wM: 18.9688)
Epoch[3/50] | Train Batch[220/334] | Time (10 batches): 69.08s | Loss: 9.2732 (wH: 6.5769, wZ: 1.4551, wM: 25.5081)
Epoch[3/50] | Train Batch[230/334] | Time (10 batches): 69.04s | Loss: 8.8308 (wH: 6.6879, wZ: 1.6167, wM: 19.8114)
Epoch[3/50] | Train Batch[240/334] | Time (10 batches): 69.06s | Loss: 7.7692 (wH: 6.3333, wZ: 0.7784, wM: 13.5799)
Epoch[3/50] | Train Batch[250/334] | Time (10 batches): 69.09s | Loss: 8.3843 (wH: 6.3890, wZ: 0.9173, wM: 19.0364)
Epoch[3/50] | Train Batch[260/334] | Time (10 batches): 69.05s | Loss: 8.6252 (wH: 6.4705, wZ: 1.4839, wM: 20.0625)
Epoch[3/50] | Train Batch[270/334] | Time (10 batches): 69.10s | Loss: 8.2543 (wH: 6.4299, wZ: 1.2402, wM: 17.0037)
Epoch[3/50] | Train Batch[280/334] | Time (10 batches): 69.09s | Loss: 8.2293 (wH: 6.3053, wZ: 1.7544, wM: 17.4863)
Epoch[3/50] | Train Batch[290/334] | Time (10 batches): 69.14s | Loss: 8.7119 (wH: 6.2744, wZ: 1.3433, wM: 23.0313)
Epoch[3/50] | Train Batch[300/334] | Time (10 batches): 69.15s | Loss: 8.0864 (wH: 6.2277, wZ: 1.2507, wM: 17.3371)
Epoch[3/50] | Train Batch[310/334] | Time (10 batches): 69.11s | Loss: 8.6319 (wH: 6.2810, wZ: 1.0823, wM: 22.4260)
Epoch[3/50] | Train Batch[320/334] | Time (10 batches): 69.05s | Loss: 8.7076 (wH: 6.6302, wZ: 1.6424, wM: 19.1320)
Epoch[3/50] | Train Batch[330/334] | Time (10 batches): 69.09s | Loss: 7.8210 (wH: 6.1581, wZ: 1.1940, wM: 15.4348)
=== Epoch 3 Completed in 2878.2s | Sigma: 11.87 ===
Train - wHeatmap: 6.5174 | wZ-Depth: 1.4002 | wMag: 20.0390
Val   - wHeatmap: 6.3811 | wZ-Depth: 1.1660 | wMag: 19.2536 ✓[Checkpoint Saved]
➔ PHYSICAL SCRUTINY: Missed CoM by 7.86 internal pixels -> ~47.2 pixels on ACTUAL 384x384 video.

Epoch[4/50] | Train Batch[0/334] | Time (1st batch): 6.93s | Loss: 8.1082 (wH: 6.3835, wZ: 1.4898, wM: 15.7565)
Epoch[4/50] | Train Batch[10/334] | Time (10 batches): 69.00s | Loss: 8.3730 (wH: 6.1818, wZ: 1.1218, wM: 20.7904)
Epoch[4/50] | Train Batch[20/334] | Time (10 batches): 69.01s | Loss: 7.9337 (wH: 6.1978, wZ: 0.7635, wM: 16.5951)
Epoch[4/50] | Train Batch[30/334] | Time (10 batches): 69.01s | Loss: 8.1622 (wH: 6.2333, wZ: 0.9798, wM: 18.3093)
Epoch[4/50] | Train Batch[40/334] | Time (10 batches): 69.02s | Loss: 8.3077 (wH: 6.2584, wZ: 0.8453, wM: 19.6478)
Epoch[4/50] | Train Batch[50/334] | Time (10 batches): 69.02s | Loss: 8.5479 (wH: 5.9413, wZ: 1.3120, wM: 24.7545)
